b7f9abdadb1e | 2025-06-14 23:16:21.204 | info | Starting database migration service
cc34bda6605e | 2025-07-13 18:53:56.353 | info | Migration command: up
cc34bda6605e | 2025-07-13 18:53:56.353 | info | Connecting to database: postgres:5432/mydb
cc34bda6605e | 2025-07-13 18:53:56.380 | info | Database connection established
cc34bda6605e | 2025-07-13 18:53:56.437 | info | Database has no migrations applied yet
cc34bda6605e | 2025-07-13 18:53:56.437 | info | Running UP migrations...
cc34bda6605e | 2025-07-13 18:53:56.678 | info | UP migrations completed successfully
cc34bda6605e | 2025-07-13 18:53:56.679 | info | Final migration version: 23 (dirty: false)
cc34bda6605e | 2025-07-13 18:53:56.679 | info | Migration service completed in 325ms
cf96ff9c4447 | 2025-07-13 22:09:37.378 | info | Starting database migration service
cf96ff9c4447 | 2025-07-13 22:09:37.378 | info | Migration command: up
cf96ff9c4447 | 2025-07-13 22:09:37.378 | info | Connecting to database: postgres:5432/mydb
cf96ff9c4447 | 2025-07-13 22:09:37.388 | info | Database connection established
cf96ff9c4447 | 2025-07-13 22:09:37.404 | info | Database has no migrations applied yet
cf96ff9c4447 | 2025-07-13 22:09:37.404 | info | Running UP migrations...
cf96ff9c4447 | 2025-07-13 22:09:37.634 | info | UP migrations completed successfully
cf96ff9c4447 | 2025-07-13 22:09:37.634 | info | Final migration version: 23 (dirty: false)
cf96ff9c4447 | 2025-07-13 22:09:37.635 | info | Migration service completed in 256ms
3ef9f03be97b | 2025-07-13 22:16:20.311 | info | Starting database migration service
3ef9f03be97b | 2025-07-13 22:16:20.312 | info | Migration command: up
3ef9f03be97b | 2025-07-13 22:16:20.312 | info | Connecting to database: postgres:5432/mydb
3ef9f03be97b | 2025-07-13 22:16:20.322 | info | Database connection established
3ef9f03be97b | 2025-07-13 22:16:20.334 | info | Database has no migrations applied yet
3ef9f03be97b | 2025-07-13 22:16:20.334 | info | Running UP migrations...
3ef9f03be97b | 2025-07-13 22:16:20.542 | info | UP migrations completed successfully
3ef9f03be97b | 2025-07-13 22:16:20.543 | info | Final migration version: 23 (dirty: false)
3ef9f03be97b | 2025-07-13 22:16:20.543 | info | Migration service completed in 232ms
